gene,auprc_mean,auprc_std,prevalence_mean
KIAA1109,0.1084619520940275,0.0314877466853688,0.0644805194805194
KMT2C,0.0754218295855575,0.0346298791408992,0.0715584415584415
MET,0.3581227269691505,0.2123241726860895,0.0787662337662337
MUC16,0.1117334978953992,0.0347390159549631,0.0896103896103896
OBSCN,0.1069533988247513,0.0652223576258026,0.0538961038961039
PKHD1,0.1119279882698173,0.0484471665231031,0.0537662337662337
SETD2,0.6634292315871263,0.2786120422110204,0.0609740259740259
TTN,0.1953725721829525,0.0744779864347968,0.1611688311688311
